,PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
0,x,SOL,x,x,2022,Feb,1,Tue,23,53,21
1,BDDF,faixas de renda novo,x,x,2022,Feb,1,Tue,23,15,44
2,BDDF,faixas de renda,x,x,2022,Feb,1,Tue,22,0,37
3,BDDF,regras participar,x,x,2022,Feb,1,Tue,22,0,46
4,BDDF,Afogamentos,x,x,2022,Feb,1,Tue,0,29,36
5,BDDF,MARIA DA PENHA,x,x,2022,Feb,1,Tue,0,33,53
6,BDDF,PRECO COMBUSTIVEIS,x,x,2022,Feb,1,Tue,20,2,34
7,BDDF,PRECO COMBUSTIVEIS,x,x,2022,Feb,1,Tue,20,2,50
8,BDDF,PRECO COMBUSTIVEIS,x,x,2022,Feb,1,Tue,20,2,17
9,BDDF,PROVA DE VIDA,ARTE,x,2022,Feb,1,Tue,19,59,7
10,BDDF,QUANTOS ONIBUS NO DF,ARTE,x,2022,Feb,1,Tue,5,11,3
11,BDDF,RANKING DENGUE DF 01,TELA,GVB,2022,Feb,1,Tue,0,33,45
12,BDDF,RANKING DENGUE DF 02,TELA,GVB,2022,Feb,1,Tue,0,33,57
13,BDDF,REGRAS PASSE LIVRE,ARTE,x,2022,Feb,1,Tue,21,10,0
14,BDDF,REGRAS PASSE LIVRE,ARTE,x,2022,Feb,1,Tue,20,44,14
15,BDDF,SELO CARROS,x,x,2022,Feb,1,Tue,5,16,27
16,BDDF,SELO CARROS,x,x,2022,Feb,1,Tue,5,57,38
17,BDDF,SELO CARTAO MATERIAL ESCOLAR,x,x,2022,Feb,1,Tue,5,20,28
18,BDDF,TRANSPORTE,x,x,2022,Feb,1,Tue,18,57,17
19,BDDF,VACINA CONTRA COVID nova,x,x,2022,Feb,1,Tue,23,45,52
20,DF1,CAMARA VOLTA,DESTAQUE,KLB,2022,Feb,1,Tue,10,23,56
21,DF1,CAMARA VOLTA,DESTAQUE,KLB,2022,Feb,1,Tue,10,33,8
22,DF1,COVID,ARTE,KMB,2022,Feb,1,Tue,11,25,20
23,DF1,NO FIM DAS CONTAS,x,x,2022,Feb,1,Tue,9,48,10
24,DF1,VIOLENCIA DOMESTICA,ARTE,x,2022,Feb,1,Tue,11,35,32
25,DF1,VIOLENCIA DOMESTICA,ARTE,x,2022,Feb,1,Tue,11,54,16
26,DF1,VIOLENCIA DOMESTICA,ARTE,x,2022,Feb,1,Tue,12,6,4
27,DF2,BARREIRAS ELETRONICAS,DESTAQUE,x,2022,Feb,1,Tue,17,57,45
28,DF2,BARREIRAS ELETRONICAS,DESTAQUE,x,2022,Feb,1,Tue,18,3,12
29,DF2,BARREIRAS ELETRONICAS,DESTAQUE,x,2022,Feb,1,Tue,18,6,15
30,DF2,BARREIRAS ELETRONICAS,DESTAQUE,x,2022,Feb,1,Tue,18,11,30
31,DF2,COVID,DESTAQUE,x,2022,Feb,1,Tue,17,20,47
32,DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,1,Tue,15,35,51
33,DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,1,Tue,18,38,1
34,DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,1,Tue,16,21,27
35,DF2,PASSEIO,PASSEIO,PHB,2022,Feb,1,Tue,15,31,33
36,DF2,TAXA DE LETALIDADE,x,PHB,2022,Feb,1,Tue,18,5,8
37,GE,CAMPINHO,x,x,2022,Feb,1,Tue,0,15,33
38,GE,NOTA PUBLICA,DESTAQUE,KLB,2022,Feb,1,Tue,11,52,19
39,GE,TRANSFERENCIAS,ARTE,x,2022,Feb,1,Tue,11,12,38
40,GNEWS,TELAO,TELA,x,2022,Feb,1,Tue,20,34,36
41,GNEWS,corrigido,TELA,x,2022,Feb,1,Tue,20,45,31
42,GNEWS,CENSO ESCOLAR,ARTE,KMB,2022,Feb,1,Tue,8,25,41
